left_foot_X,left_foot_Y,left_foot_Z,left_knee_X,left_knee_Y,left_knee_Z,left_hip_X,left_hip_Y,left_hip_Z,left_upper_hip_X,left_upper_hip_Y,left_upper_hip_Z,left_upper_knee_X,left_upper_knee_Y,left_upper_knee_Z,left_lower_knee_X,left_lower_knee_Y,left_lower_knee_Z,left_ankle_X,left_ankle_Y,left_ankle_Z,right_ankle_X,right_ankle_Y,right_ankle_Z,right_lower_knee_X,right_lower_knee_Y,right_lower_knee_Z,right_upper_knee_X,right_upper_knee_Y,right_upper_knee_Z,right_upper_hip_X,right_upper_hip_Y,right_upper_hip_Z,right_hip_X,right_hip_Y,right_hip_Z,right_knee_X,right_knee_Y,right_knee_Z,right_foot_X,right_foot_Y,right_foot_Z,Joint15,right_foot_ex_X,right_foot_ex_Y
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-0.075,7.50E-07,0.1455,-0.075,7.50E-07,0.1455,-0.161870281,-0.000429685,0.525432042,-0.257762658,-0.136645191,0.945085375,-0.257762658,-0.136645191,0.945085375,-0.263950445,0.018679805,1.134127981,-0.05226268,0.135032981,1.141509606,-0.05298885,0.250121328,1.142977683,-0.266382397,0.404341417,1.138995475,-0.2611373,0.406721016,0.950083256,-0.305094303,0.411848908,0.521763461,-0.139318775,0.280116093,0.265037825,-0.344198663,0.280788461,0.132395659,-0.26922079,0.281175856,0.134175678,-0.265778101,0.283165021,-0.011269986
-0.075,7.50E-07,0.1455,-0.075,7.50E-07,0.1455,-0.174967733,0.000398578,0.522197865,-0.254590697,-0.134929204,0.945524579,-0.254590697,-0.134929204,0.945524579,-0.263026346,0.020715297,1.134217132,-0.051927175,0.138080818,1.142386217,-0.053179241,0.253172688,1.142937412,-0.267220155,0.406388313,1.136012163,-0.260454189,0.407303205,0.947135524,-0.300959348,0.408857176,0.518447668,-0.132521003,0.275858152,0.264119345,-0.336319639,0.274557304,0.129826424,-0.261361141,0.275298375,0.13220853,-0.256748194,0.276157149,-0.013215792
-0.075,7.50E-07,0.1455,-0.075,7.50E-07,0.1455,-0.161870281,-0.000429688,0.525432042,-0.257762652,-0.136645197,0.945085375,-0.257762652,-0.136645197,0.945085375,-0.263950445,0.018679798,1.134127982,-0.052262681,0.135032978,1.141509613,-0.052988854,0.250121324,1.142977692,-0.266382404,0.40434141,1.138995481,-0.261137304,0.40672101,0.950083262,-0.305094295,0.411848903,0.521763466,-0.139318772,0.280116088,0.265037828,-0.344198662,0.280788457,0.132395664,-0.269220789,0.281175855,0.134175685,-0.265778097,0.283165032,-0.011269979
-0.075,7.50E-07,0.1455,-0.075,7.50E-07,0.1455,-0.161870272,-0.000429686,0.525432044,-0.257762654,-0.136645192,0.945085376,-0.257762654,-0.136645192,0.945085376,-0.263950444,0.018679804,1.134127982,-0.05226268,0.135032982,1.141509608,-0.052988852,0.250121328,1.142977684,-0.2663824,0.404341416,1.138995467,-0.261137302,0.406721006,0.950083248,-0.305094223,0.411848882,0.521763444,-0.139318744,0.280116041,0.26503779,-0.344198651,0.28078842,0.132395654,-0.269220778,0.281175816,0.134175671,-0.265778093,0.283164998,-0.011269993
-0.075,7.50E-07,0.1455,-0.075,7.50E-07,0.1455,-0.161870294,-0.000429685,0.525432039,-0.257762652,-0.136645191,0.945085376,-0.257762652,-0.136645191,0.945085376,-0.263950441,0.018679806,1.134127982,-0.052262675,0.135032981,1.141509609,-0.052988846,0.250121328,1.142977686,-0.266382674,0.404341289,1.139005638,-0.261137654,0.406733244,0.950093573,-0.304598695,0.411878534,0.521723378,-0.139152566,0.280202674,0.264756145,-0.344220478,0.280827787,0.132404622,-0.269241315,0.281222372,0.134127815,-0.265908892,0.283183042,-0.011320804
-0.075,7.50E-07,0.1455,-0.075,7.50E-07,0.1455,-0.170830027,-0.00044868,0.523271613,-0.258734064,-0.136667864,0.944669461,-0.258734064,-0.136667864,0.944669461,-0.265374696,0.018653631,1.133699578,-0.053774504,0.135135815,1.141542994,-0.054575865,0.250222882,1.143071075,-0.268058515,0.404310982,1.138768143,-0.262458246,0.406794844,0.949867462,-0.305609682,0.412124046,0.521468217,-0.139266887,0.280632627,0.264985871,-0.343896358,0.281247184,0.131957428,-0.268922238,0.281680733,0.133879239,-0.265206195,0.283749812,-0.011558582
-0.075,7.50E-07,0.1455,-0.075,7.50E-07,0.1455,-0.161870312,-0.000429691,0.525432035,-0.257762673,-0.136645204,0.945085369,-0.257762673,-0.136645204,0.945085369,-0.263950458,0.01867979,1.134127977,-0.052262689,0.13503296,1.141509608,-0.052988856,0.250121306,1.142977689,-0.266382398,0.404341402,1.138995479,-0.261137299,0.406721003,0.95008326,-0.305094286,0.411848901,0.521763464,-0.139318761,0.280116076,0.265037831,-0.344198646,0.280788459,0.13239566,-0.269220773,0.281175855,0.134175678,-0.265778085,0.283165038,-0.011269985
-0.075,7.50E-07,0.1455,-0.075,7.50E-07,0.1455,-0.161870281,-0.000429687,0.525432042,-0.257762651,-0.136645195,0.945085376,-0.257762651,-0.136645195,0.945085376,-0.263950442,0.018679801,1.134127982,-0.052262678,0.135032978,1.141509611,-0.05298885,0.250121325,1.142977688,-0.266382398,0.404341413,1.138995475,-0.261137298,0.40672101,0.950083257,-0.305094293,0.411848899,0.521763461,-0.139318769,0.280116079,0.265037824,-0.344198659,0.280788448,0.13239566,-0.269220786,0.281175845,0.134175681,-0.265778095,0.283165018,-0.011269983
-0.075,7.50E-07,0.1455,-0.075,7.50E-07,0.1455,-0.161870272,-0.000429687,0.525432044,-0.257762649,-0.136645195,0.945085376,-0.257762649,-0.136645195,0.945085376,-0.263950438,0.0186798,1.134127983,-0.052262674,0.135032979,1.141509607,-0.052988846,0.250121325,1.142977683,-0.266382394,0.404341413,1.138995471,-0.261137298,0.406721007,0.950083252,-0.305094309,0.41184889,0.521763458,-0.139318785,0.280116057,0.265037829,-0.34419867,0.280788434,0.132395658,-0.269220797,0.281175829,0.134175678,-0.265778107,0.283165005,-0.011269985
